bard_spell: bard_spell
cleric_spell: '0'
druid_spell: druid_spell
paladin_spell: '0'
ranger_spell: ranger_spell
sorcerer_spell: '0'
warlock_spell: '0'
wizard_spell: '0'
level: 2nd_level_spell
school: divination_school
ritual_spell: ritual_spell
casting_time: '1 action'
range: 'Self'
verbal_component: verbal_component
somatic_component: somatic_component
material_component: material_component
material_desc: 'a bit of fur from a bloodhound'
expensive_material_component: '0'
material_component_consumed: '0'
duration: 'Instantaneous'
concentration_spell: '0'
description: "Describe or name a specific kind of beast or plant. Concentrating on the voice of nature in your surroundings, you learn the direction and distance to the closest creature or plant of that kind within 5 miles, if any are present."
at_higher_levels: '0'
at_higher_levels_text: ''
sourcebook: phb
page: '256'
