bard_spell: bard_spell
cleric_spell: '0'
druid_spell: druid_spell
paladin_spell: '0'
ranger_spell: '0'
sorcerer_spell: '0'
warlock_spell: '0'
wizard_spell: wizard_spell
level: 7th_level_spell
school: illusion_school
ritual_spell: '0'
casting_time: '10 minutes'
range: Sight
verbal_component: verbal_component
somatic_component: somatic_component
material_component: '0'
material_desc: ''
expensive_material_component: '0'
material_component_consumed: '0'
duration: '10 days'
concentration_spell: '0'
description: "You make terrain in an area up to 1 mile square look, sound, smell, and even feel like some other sort of terrain. The terrain's general shape remains the same, however. Open fields or a road could be made to resemble a swamp, hill, crevasse, or some other difficult or impassable terrain. A pond can be made to seem like a grassy meadow, a precipice like a gentle slope, or a rock-strewn gully like a wide and smooth road.\n\nSimilarly, you can alter the appearance of structures, and add them where none are present. The spell doesn't disguise, conceal or add creatures.\n\nThe illusion includes audible, visual, tactile, and olfactory elements, so it can turn clear ground into difficult terrain (or vice versa) or otherwise impede movement through the area. Any piece of the illusory terrain (such as a rock or stick) that is removed from the spell's area disappears immediately.\n\nCreatures with truesight can see through the illusion to the terrain's true form; however, all other elements of the illusion remain, so while the creature is aware of the illusion's presence, the creature can still physically interact with the illusion."
at_higher_levels: '0'
at_higher_levels_text: ''
sourcebook: phb
page: '260'
melee_spell_attack: '0'
ranged_spell_attack: '0'
strength_save: '0'
dexterity_save: '0'
constitution_save: '0'
intelligence_save: '0'
wisdom_save: '0'
charisma_save: '0'
