bard_spell: bard_spell
cleric_spell: '0'
druid_spell: '0'
paladin_spell: '0'
ranger_spell: '0'
sorcerer_spell: sorcerer_spell
warlock_spell: '0'
wizard_spell: wizard_spell
level: 2nd_level_spell
school: transmutation_school
ritual_spell: '0'
casting_time: '1 action'
range: '60 feet'
verbal_component: verbal_component
somatic_component: somatic_component
material_component: '0'
material_desc: ''
expensive_material_component: '0'
material_component_consumed: '0'
duration: 'Instantaneous'
concentration_spell: '0'
description: "Choose an area of flame that you can see and that can fit within a 5-foot cube within range. You can extinguish the fire in that area, and you create either fireworks or smoke.\n\n**Fireworks.** The target explodes with a dazzling display of colors. Each creature within 10 feet of the target must succeed on a Constitution saving throw or become blinded until the end of your next turn.\n\n**Smoke.** Thick black smoke spreads out from the target in a 20-foot radius, moving around corners. The area of the smoke is heavily obscured. The smoke persists for 1 minute or until a strong wind disperses it."
at_higher_levels: '0'
at_higher_levels_text: ''
sourcebook: ee
page: '21'
