bard_spell: bard_spell
cleric_spell: '0'
druid_spell: '0'
paladin_spell: '0'
ranger_spell: '0'
sorcerer_spell: '0'
warlock_spell: warlock_spell
wizard_spell: wizard_spell
level: 1st_level_spell
school: illusion_school
ritual_spell: '0'
casting_time: '1 action'
range: Self
verbal_component: verbal_component
somatic_component: somatic_component
material_component: '0'
material_desc: ''
expensive_material_component: '0'
material_component_consumed: '0'
duration: '1 hour'
concentration_spell: '0'
description: "You wrap yourself in an illusion that makes you appear to be a stranger to all who see you. You either appear as your own race, or as one of the races commonly found in the area you're in (your choice), though the race must be the same size and have the same basic body shape as you.\n\nEach person that sees you sees a unique visage that is unfamiliar to them. You have no control over that visage's physical traits, including hair color, skin color, eye color, clothes, weight, height (within 1 foot taller or shorter), voice, accent, and various body odors. If you cast this spell again later, anyone who's seen you before may see the same visage they saw before, or they may see a new one. However, no two people will see the same visage.\n\nTo discern that you are disguised, a creature can use its action to inspect your appearance and must succeed on an Intelligence (Investigation) check against your spell save DC."
at_higher_levels: '0'
at_higher_levels_text: ''
sourcebook: homebrew
page: ''
